start_index,end_index,final_value,roi,sharpe,max_drawdown
0,100000,1151.3435597082907,0.15134355970829075,0.037901546776725956,-0.14458851997028316
50000,150000,997.2299299621918,-0.002770070037808182,-0.0005924985706474587,-0.05177713088643856
100000,200000,2228.8367391816782,1.2288367391816784,0.1040827739760612,-0.1410211538981998
150000,250000,991.4095602860423,-0.008590439713957721,-0.004008802519679408,-0.07974687804491833
200000,300000,1142.5709653114138,0.14257096531141383,0.07041203299536065,-0.04820815016582688
250000,350000,921.2972719931911,-0.07870272800680891,-0.0579318598494457,-0.11430634851887539
300000,400000,979.4286946080323,-0.020571305391967713,-0.004702603886063966,-0.17125482485445337
350000,450000,988.4474712059871,-0.011552528794012914,-0.019667587170619123,-0.03861063745057981
400000,500000,960.0476111543622,-0.03995238884563776,-0.0413104090149007,-0.0641758305065731
450000,550000,1041.6889657410422,0.041688965741042236,0.059945377044929436,-0.0215444344261828
500000,600000,1003.7602520486129,0.0037602520486128698,0.005048370403328847,-0.13294335116333328
550000,650000,962.8797347634948,-0.037120265236505245,-0.05149390367269334,-0.05005132615315388
