start_index,end_index,final_value,roi,sharpe,max_drawdown
0,100000,1170.1348823231408,0.1701348823231408,0.0339052146059683,-0.5419856748643047
50000,150000,4034.8641331693025,3.0348641331693025,0.09090804325155089,-0.4913285604676944
100000,200000,9093.145384376892,8.093145384376893,0.1436264798508548,-0.4464521730039452
150000,250000,1620.2978618108737,0.6202978618108737,0.06623648858249358,-0.4087679025102824
200000,300000,1028.3641501446082,0.028364150144608174,0.012108373144338014,-0.2518439592748414
250000,350000,910.6475717308317,-0.08935242826916828,-0.009803731205876284,-0.20008140926079346
300000,400000,1013.2208113319684,0.013220811331968434,0.009956299301578457,-0.1778939301718376
350000,450000,1166.63809930587,0.1666380993058699,0.03347144881714538,-0.18435406559167844
400000,500000,1430.7512151388555,0.4307512151388555,0.0491262160588273,-0.247783263108336
450000,550000,1273.01260272862,0.2730126027286201,0.04096958961819365,-0.31325319387137845
500000,600000,1137.6538009704907,0.13765380097049068,0.03123862754593943,-0.20378559165951826
550000,650000,3265.1933330131665,2.2651933330131664,0.04756508684125582,-0.2876572052679756
