start_index,end_index,final_value,roi,sharpe,max_drawdown
0,100000,0.0046,-0.9999954,-0.09035372987668032,-0.9999975
50000,150000,298060.2422748077,297.0602422748077,0.20482201142386128,-0.42323329527553244
100000,200000,52900.37396342962,51.90037396342962,0.13121322657547946,-0.5845475494229011
150000,250000,3841.3988747975745,2.8413988747975747,0.0692516820475302,-0.6989299949005464
200000,300000,1515.0541570844812,0.5150541570844812,0.046359655789589754,-0.5701065050408264
250000,350000,566.155487221733,-0.433844512778267,-0.024250848028030608,-0.5461608034905587
300000,400000,1961.039528664742,0.961039528664742,0.0761920089107617,-0.3896916761998334
350000,450000,1775.5766086919125,0.7755766086919125,0.0665742150142819,-0.38969167619983236
400000,500000,1467.6587076746107,0.4676587076746107,0.043911528260629544,-0.3858768866024648
450000,550000,4378.7433449999235,3.3787433449999233,0.14614273691752766,-0.32262767353128796
500000,600000,3029.411306150302,2.029411306150302,0.14212042879774892,-0.16666293414141417
550000,650000,3186.78185040058,2.18678185040058,0.047502794486241666,-0.4032226874570735
